dataset,  nbw,  eic,  bhs_excl_time,  total_exec_time,  bhs_io_time,  bhs_io_wait_time
cyclic,   0,    0,    256.598,        268.485,          229.271,      0
cyclic,   0,    1,    201.789,        205.583,          163.123,      9.097
cyclic,   0,    2,    110.919,        125.899,          61.168,       11.955
cyclic,   0,    4,    62.690,         66.246,           16.924,       10.847
cyclic,   0,    8,    44.469,         48.093,           6.626,        8.535
cyclic,   0,    16,   49.583,         53.158,           5.267,        10.339
cyclic,   0,    32,   58.184,         61.806,           5.825,        11.678
cyclic,   0,    64,   37.122,         40.885,           5.727,        8.019
cyclic,   2,    0,    73.493,         81.455,           204.834,      0
cyclic,   2,    1,    75.883,         82.806,           197.2,        11.386
cyclic,   2,    2,    58.359,         66.34,            147.206,      11.158
cyclic,   2,    4,    44.498,         51.5,             101.784,      12.483
cyclic,   2,    8,    33.673,         40.629,           69.501,       12.016
cyclic,   2,    16,   34.765,         41.737,           64.945,       15.496
cyclic,   2,    32,   32.909,         41.065,           66.204,       10.077
cyclic,   2,    64,   30.898,         37.823,           60.756,       8.102
uniform,  0,    0,    268.336,        273.75,           220.581,      0
uniform,  0,    1,    579.843,        581.868,          454.92,       65.301
uniform,  0,    2,    293.390,        296.09,           177.193,      60.884
uniform,  0,    4,    241.098,        243.16,           109.915,      70.373
uniform,  0,    8,    237.703,        239.587,          108.825,      68.911
uniform,  0,    16,   239.296,        241.955,          129.747,      57.889
uniform,  0,    32,   238.420,        240.389,          111.47,       67.351
uniform,  0,    64,   219.356,        221.219,          132.621,      35.035
uniform,  2,    0,    274.771,        281.407,          770.249,      0
uniform,  2,    1,    253.710,        260.082,          644.076,      61.467
uniform,  2,    2,    238.57,         253.459,          572.498,      77.318
uniform,  2,    4,    235.605,        242.273,          545.608,      89.942
uniform,  2,    8,    236.459,        243.091,          561.461,      80.94
uniform,  2,    16,   234.624,        241.202,          567.95,       72.366
uniform,  2,    32,   232.250,        243.497,          595.955,      46.4
uniform,  2,    64,   217.054,        223.721,          541.649,      43.475
