dataset,  nbw,  eic,  bhs_excl_time,  total_exec_time,  bhs_io_time,  bhs_io_wait_time
cyclic,   0,    0,    160.476,        164.065,          133.007,      0
cyclic,   0,    1,    110.314,        112.280,          76.864,       9.443
cyclic,   0,    2,    65.188,         67.431,           33.269,       9.245
cyclic,   0,    4,    35.502,         37.333,           3.925,        9.215
cyclic,   0,    8,    36.841,         39.130,           3.219,        9.592
cyclic,   0,    16,   36.149,         38.466,           2.860,        9.600
cyclic,   0,    32,   34.042,         36.945,           3.098,        8.896
cyclic,   0,    64,   31.743,         34.102,           5.199,        8.836
cyclic,   2,    0,    44.950,         52.168,           122.449,      0
cyclic,   2,    1,    42.487,         49.327,           106.126,      9.835
cyclic,   2,    2,    32.526,         39.119,           77.216,       9.946
cyclic,   2,    4,    20.622,         28.003,           44.021,       8.984
cyclic,   2,    8,    14.283,         20.622,           23.727,       9.498
cyclic,   2,    16,   11.067,         17.656,           12.257,       9.834
cyclic,   2,    32,   8.971,          15.547,           7.897,        9.176
cyclic,   2,    64,   9.094,          15.169,           7.879,        9.589
uniform,  0,    0,    86.768,         88.449,           56.766,       0
uniform,  0,    1,    759.456,        761.496,          633.842,      74.354
uniform,  0,    2,    429.698,        431.882,          326.658,      61.167
uniform,  0,    4,    260.652,        262.600,          168.845,      55.821
uniform,  0,    8,    177.546,        179.381,          82.922,       57.746
uniform,  0,    16,   165.444,        166.828,          67.596,       59.958
uniform,  0,    32,   144.725,        146.123,          52.306,       55.603
uniform,  0,    64,   144.745,        146.165,          49.802,       58.057
uniform,  2,    0,    108.642,        116.519,          291.257,      0
uniform,  2,    1,    243.099,        252.418,          630.360,      48.683
uniform,  2,    2,    263.694,        273.663,          669.411,      72.638
uniform,  2,    4,    196.429,        204.226,          491.054,      60.950
uniform,  2,    8,    153.697,        160.913,          356.051,      64.218
uniform,  2,    16,   100.884,        108.624,          196.042,      66.754
uniform,  2,    32,   68.541,         76.639,           108.214,      60.934
uniform,  2,    64,   56.330,         64.071,           71.613,       61.592
